"Geneid","withDOX_1_S4","withDOX_2_S5","withDOX_3_S6","woDOX_1_S1","woDOX_3_S3","woDOX_2_S2"
"Fhl2",1615,1530,1610,1100,1876,1592
"Gm8210",67,99,82,64,96,75
"Gm29040",0,0,0,0,0,0
"Gm29610",0,0,0,0,0,0
"Gm29041",0,0,0,0,0,0
"Nck2",214,199,200,192,322,279
"Gm37536",3,2,4,5,10,15
"Gm38228",12,8,9,11,9,10
"1500015O10Rik",0,2,4,8,6,7
"Gm29155",8,7,11,4,16,6
"Gm29157",6,8,4,4,11,7
"Gm29156",9,7,12,11,18,13
"Uxs1",1142,1140,1176,841,1444,1428
"Gm16103",7,8,8,4,8,9
"Gm19587",1,2,1,1,3,2
"Gm8241",0,0,1,0,0,0
"Gm26352",0,0,0,0,0,0
"Gm24180",0,0,0,0,0,0
"Tpp2",4576,4653,5142,2942,5190,5036
"Mettl21c",90,94,78,56,89,99
"Gm15838",0,4,3,0,2,1
"Gm8251",6,13,13,3,12,10
"Tex30",438,434,531,224,568,499
"Gm29247",367,401,401,236,463,445
"Kdelc1",893,950,977,541,1036,965
"Bivm",919,961,962,513,888,922
"Ercc5",745,813,780,561,893,890
"Mettl21e",0,0,0,0,0,0
"Gm15833",0,0,0,0,0,0
"Gm5700",0,0,0,0,0,0
"Gm28893",0,0,0,1,1,0
"Txn-ps1",2,2,1,5,7,3
"Gulp1",410,415,392,280,459,501
"Gm37626",41,19,22,25,37,38
"Gm16102",3,0,0,3,2,0
"4930521E06Rik",6,2,3,2,5,2
"Gm38110",1,1,2,1,0,1
"Gm3489",1,0,0,0,0,0
"Gm19480",0,0,0,0,0,0
"Gm3496",0,0,0,0,0,0
"Gm5268",0,0,0,0,0,0
"Col3a1",17150,17350,11690,9127,10658,11921
"AC125167.1",441,514,308,180,246,296
"Col5a2",28303,25983,23014,8233,12426,10925
"Gm38211",426,323,297,143,193,234
"Gm8296",0,0,0,1,0,0
"Gm7063",2,0,1,0,0,0
"Gm8304",0,0,1,0,0,1
"Gm23216",0,0,0,0,0,0
"Gm23974",0,0,0,0,0,0
"Gm8307",0,2,0,0,0,0
